

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Testing Method  : adventurer()
  TEST FAIL    : Adventurer add correct number of cards to hand failed : ev = 4 , actual = 6
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 7
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 6 , actual = 9
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 2
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 1 , actual = 4
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 7
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 3 , actual = 6
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 8 , actual = 11
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = -1
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 1 , actual = 4
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 2 , actual = 5
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 1 , actual = 4
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 3 , actual = 6
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 8 , actual = 11
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 5 , actual = 6
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 3 , actual = 6
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 2
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 2 , actual = 5
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 1 , actual = 2
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 1 , actual = 4
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 6 , actual = 9
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 6 , actual = 9
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 7
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 6 , actual = 8
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 8 , actual = 11
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 3 , actual = 6
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 5 , actual = 8
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 6 , actual = 9
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 2 , actual = 5
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 7
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 6 , actual = 9
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 3 , actual = 6
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 3 , actual = 6
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 1 , actual = 4
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 5 , actual = 8
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 8 , actual = 11
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 1 , actual = 4
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 8 , actual = 11
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 2 , actual = 5
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 3
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 1 , actual = 4
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 7 , actual = 10
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 7
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 2 , actual = 5
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 7
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 8 , actual = 11
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 3 , actual = 5
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 7 , actual = 9
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 5 , actual = 8
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 5 , actual = 8
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 3 , actual = 5
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 8 , actual = 11
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 6 , actual = 9
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 2 , actual = 5
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 6 , actual = 9
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 3
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 1 , actual = 4
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 3
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 7 , actual = 10
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 7 , actual = 9
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 3 , actual = 6
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 1 , actual = 4
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 7
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 7
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 7
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 1 , actual = 4
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 2 , actual = 5
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 1 , actual = 4
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 3 , actual = 6
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 5 , actual = 8
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 6 , actual = 9
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 6
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 2 , actual = 5
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 6 , actual = 9
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 6 , actual = 9
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 1 , actual = 3
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 6 , actual = 9
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 2 , actual = 5
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 7
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 2 , actual = 5
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 3 , actual = 6
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 7
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 8 , actual = 11
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 1 , actual = 4
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 8 , actual = 11
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 6 , actual = 9
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 5 , actual = 8
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 1 , actual = 4
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 7
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 6 , actual = 9
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 3 , actual = 5
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 7
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 2 , actual = 5
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 7 , actual = 10
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 8 , actual = 11
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 3
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 2
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 2 , actual = 5
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 5 , actual = 6
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 3 , actual = 6
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 5 , actual = 8
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 3
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 2 , actual = 5
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 5 , actual = 8
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 3
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 3 , actual = 6
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 2
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 3 , actual = 6
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 7 , actual = 10
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 7 , actual = 10
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 5 , actual = 8
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 8 , actual = 11
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 2
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 1 , actual = 2
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 2 , actual = 5
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 7
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 5 , actual = 7
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 7
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 8 , actual = 11
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 7
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 2 , actual = -86
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 1
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 2 , actual = 5
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 1 , actual = 4
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 2
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 3
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 5 , actual = 8
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 7 , actual = 10
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 7 , actual = 8
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 1
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 2 , actual = 5
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 3 , actual = 6
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 7
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 8 , actual = 11
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 5
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 5 , actual = 8
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 3
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 6 , actual = 8
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 7
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 5 , actual = 8
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 8 , actual = 11
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 3 , actual = 6
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 7
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 2 , actual = 5
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = -86
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 7
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 6 , actual = 9
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 3 , actual = 6
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 8 , actual = 11
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 6 , actual = 9
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 7 , actual = 10
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 6 , actual = 9
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 7
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 6 , actual = 9
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 3 , actual = 6
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 7
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 2
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 7
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 7
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 6 , actual = 9
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 6 , actual = 9
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 7 , actual = 10
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 2 , actual = 3
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 3
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 8 , actual = 11
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 8 , actual = 11
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 8 , actual = 11
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 2 , actual = 4
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 2 , actual = 1
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 8 , actual = 11
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 6
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 2 , actual = 5
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 6 , actual = 9
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 8 , actual = 11
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 6 , actual = 9
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 8 , actual = 11
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 2 , actual = 5
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 3
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 2 , actual = 5
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 5 , actual = 8
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 1 , actual = 2
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 3 , actual = 6
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 5 , actual = 8
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 5 , actual = 7
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 8 , actual = 11
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 7
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 2 , actual = 5
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 3 , actual = 6
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = -1
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 2 , actual = 5
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 2
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 2 , actual = 5
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 8 , actual = 11
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 8 , actual = 11
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 7 , actual = 9
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 6 , actual = 9
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 1 , actual = 4
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 6 , actual = 8
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 2 , actual = 3
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 8 , actual = 11
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 2 , actual = 5
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 7 , actual = 8
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 8 , actual = 11
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 5 , actual = 8
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 5 , actual = 8
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 6 , actual = 9
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 2 , actual = 5
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 7
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 2
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 6 , actual = 9
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 3
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 3
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 3
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 8 , actual = 11
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 1 , actual = 4
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 1 , actual = 3
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 8 , actual = 11
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 7 , actual = 10
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 2
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 7 , actual = 10
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 3 , actual = 6
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 7
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 7
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 3
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 7
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 6 , actual = 9
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 7 , actual = 10
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 5 , actual = 8
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 3
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 2 , actual = 4
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 2 , actual = 5
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 3
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 3 , actual = 6
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 5 , actual = 8
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 2
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 6 , actual = 9
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 7
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 5 , actual = 8
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 1 , actual = 3
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 1 , actual = 2
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 5 , actual = 8
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 8 , actual = 11
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 5 , actual = 8
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 1 , actual = 4
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 1 , actual = 4
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 6 , actual = 9
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 1 , actual = 4
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 2 , actual = 3
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = -86
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 2
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 6 , actual = 9
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 8 , actual = 11
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 1 , actual = 4
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 3
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 2 , actual = 5
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 2
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 2
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 3
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 8 , actual = 9
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 3
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 2
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 6 , actual = 9
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 7 , actual = 10
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 2
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 7
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 7 , actual = 10
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 8 , actual = 11
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 1 , actual = 4
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 2 , actual = 4
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 5 , actual = 8
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 2 , actual = 5
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 7
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 1 , actual = 3
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 1 , actual = 4
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 3 , actual = 6
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 3
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 3
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 6
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 6 , actual = 9
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 3
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 3 , actual = 6
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 2 , actual = 3
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 1 , actual = 4
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 2
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 7
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 3
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 8 , actual = 11
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 7 , actual = 9
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 7 , actual = 10
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 7
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 5 , actual = 6
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 2
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 7 , actual = 10
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 5 , actual = 8
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 6 , actual = 9
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 8 , actual = 11
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 7
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 7 , actual = 10
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 8 , actual = 11
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 8 , actual = 11
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 7
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 4 , actual = 7
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 5 , actual = 6
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 8 , actual = 11
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 3 , actual = 6
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 5 , actual = 8
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 6 , actual = 9
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 2 , actual = 4
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 1 , actual = 4
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 8 , actual = 11
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 3 , actual = 6
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 5 , actual = 8
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 7 , actual = 10
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 7 , actual = 8
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 1 , actual = 2
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 8 , actual = 11
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 1 , actual = 3
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 5 , actual = 8
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 3 , actual = 6
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 1 , actual = 4
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 0 , actual = 3
  TEST FAIL    : Adventurer no treasure available but cards to hand failed : ev = 6 , actual = 9
    Tests Passed    : 506
    Tests Failed    : 994
-------------------------------------------------------------------------------

File 'randomtestadventurer.c'
Lines executed:93.75% of 80
randomtestadventurer.c:creating 'randomtestadventurer.c.gcov'

File 'dominion.c'
Lines executed:21.71% of 562
dominion.c:creating 'dominion.c.gcov'

        -:    0:Source:randomtestadventurer.c
        -:    0:Graph:randomtestadventurer.gcno
        -:    0:Data:randomtestadventurer.gcda
        -:    0:Runs:1
        -:    0:Programs:1
        -:    1:/*
        -:    2: * Jason Gourley
        -:    3: * gourleja@oregonstate.edu
        -:    4: * CS362-400
        -:    5: * Assignment 4 - randomtestadventurer.c
        -:    6: * Description : Random tests for Adventurer card
        -:    7: */
        -:    8:
        -:    9:#include <stdio.h>
        -:   10:#include <stdlib.h>
        -:   11:#include <time.h>
        -:   12:#include "dominion.h"
